路線名稱,公車代碼,方向
內湖幹線,0161000100,去程
北環幹線,0100062000,去程
民生幹線,0161000300,去程
民權幹線,0161001300,去程
和平幹線,0161000700,去程
忠孝幹線,0161001100,去程
承德幹線,0161000900,去程
東環幹線,0113001600,去程
松江新生幹線,0161000400,去程
信義幹線,0161001200,去程
南京幹線,0161001400,去程
南環幹線,0113000100,去程
重慶幹線,0161001000,去程
基隆路幹線,0161001500,去程
復興幹線,0161000800,去程
敦化幹線,0161000500,去程
湯泉-大坪林-湯泉,0463003900,去程
雙園巴士,0152005400,去程
羅斯福路幹線,0161001600,去程
985萬大樹林先導公車,0410098500,去程
藍海2線先導公車,0410000200,去程
紅2,0111000200,去程
紅3,0111000300,去程
紅3區,0111000320,去程
紅5,0111000500,去程
紅7,0111000700,去程
紅7區,0111000720,去程
紅9,0111000900,去程
紅10,0111001000,去程
紅10區,0111001020,去程
紅12,0111001200,去程
紅13,0411001300,去程
紅15,0111001500,去程
紅19,0111001900,去程
紅22,0411002200,去程
紅23,0411002300,去程
紅25,0111002500,去程
紅25區,0111002520,去程
紅26,0411002600,去程
紅27,0411002700,去程
紅28,0411002800,去程
紅28直,0411002830,去程
紅29,0111002900,去程
紅30,0111003000,去程
紅31,0111003100,去程
紅33,0111003300,去程
紅35,0111003500,去程
紅35區,0111003520,去程
紅36,0411003600,去程
紅37,0411003700,去程
紅37行經海洋都心社區,0411003790,去程
紅38,0411003800,去程
紅39,0411003900,去程
紅50,0111005000,去程
紅51,0411005100,去程
紅53,0411005300,去程
紅55,0111005500,去程
紅55區,0111005520,去程
紅57,0111005700,去程
紅68,0111006800,去程
藍1,0412000100,去程
藍2,0412000200,去程
藍5,0112000500,去程
藍7,0112000700,去程
藍7副,0112000710,去程
藍10,0112001000,去程
藍15,0412001500,去程
藍17,0412001700,去程
藍18,0412001800,去程
藍20區,0112002020,去程
藍21,0412002100,去程
藍21副,0412002110,去程
藍22,0412002200,去程
藍23,0412002300,去程
藍25,0112002500,去程
藍26,0112002600,去程
藍27,0112002700,去程
藍28,0112002800,去程
藍29,0112002900,去程
藍31,0412003100,去程
藍32,0412003200,去程
藍33,0412003300,去程
藍35,0412003500,去程
藍36,0112003600,去程
藍37,0412003700,去程
藍38,0412003800,去程
藍39,0412003900,去程
藍40,0412004000,去程
藍41,0412004100,去程
藍41延和,0412004170,去程
藍43,0412004300,去程
藍43延南天母,0412004370,去程
藍44,0412004400,去程
藍44延,0412004470,去程
藍45,0412004500,去程
藍46,0412004600,去程
藍50,0112005000,去程
藍51,0112005100,去程
綠2右,0413000200,去程
綠2左,0413000270,去程
綠3,0413000300,去程
綠5,0413000500,去程
綠6,0413000600,去程
綠7,0413000700,去程
綠8,0413000800,去程
綠9,0413000900,去程
綠9耕莘,0413000990,去程
綠9北新國小,0413000970,去程
綠10,0413001000,去程
綠11,0113001100,去程
綠12,0413001200,去程
綠13,0413001300,去程
綠15,0413001500,去程
綠17,0113001700,去程
棕1,0114000100,去程
棕2,0114000200,去程
棕3,0114000300,去程
棕5,0114000500,去程
棕6,0114000600,去程
棕7,0414000700,去程
棕7建業路,0414000790,去程
棕7綠野香坡,0414000770,去程
棕10,0114001000,去程
棕11,0114001100,去程
棕11副,0114001110,去程
棕12,0114001200,去程
棕13,0114001300,去程
